         4688146 function calls (4563357 primitive calls) in 3.933 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       96    0.000    0.000    0.023    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/pprint.py:151(pformat)
        1    0.000    0.000    0.023    0.023 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typed_passes.py:297(run_pass)
        1    0.000    0.000    0.023    0.023 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:2906(run)
  2417/96    0.002    0.000    0.023    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/pprint.py:163(_format)
    18400    0.016    0.000    0.023    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/tasks.py:764(_done_callback)
       12    0.000    0.000    0.022    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:651(_optimize_functions)
        1    0.000    0.000    0.022    0.022 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/scipy/sparse/csgraph/__init__.py:1(<module>)
     1007    0.002    0.000    0.021    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/extending.py:129(decorate)
      185    0.000    0.000    0.021    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/importlib/metadata.py:259(entry_points)
    38272    0.015    0.000    0.019    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/events.py:31(__init__)
        1    0.000    0.000    0.018    0.018 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/npdatetime.py:1(<module>)
      266    0.000    0.000    0.018    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/npydecl.py:196(generic)
        1    0.000    0.000    0.018    0.018 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/npyfuncs.py:1(<module>)
      266    0.001    0.000    0.017    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/npydecl.py:92(generic)
        1    0.000    0.000    0.017    0.017 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:2899(_pre_run)
        1    0.000    0.000    0.017    0.017 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/array_analysis.py:1120(run)
        3    0.000    0.000    0.016    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:286(create_cfunc_wrapper)
        3    0.000    0.000    0.016    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/cpu.py:193(create_cfunc_wrapper)
    38/22    0.001    0.000    0.016    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir_utils.py:919(copy_propagate)
     2320    0.003    0.000    0.016    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/base.py:352(install_registry)
    23770    0.004    0.000    0.016    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:1314(new_registrations)
      290    0.000    0.000    0.016    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/runtime/nrt.py:19(initialize)
        1    0.000    0.000    0.016    0.016 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/array_analysis.py:1170(_run_on_blocks)
       19    0.000    0.000    0.016    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/array_analysis.py:1194(_determine_transform)
        1    0.000    0.000    0.015    0.015 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/cpython/charseq.py:1(<module>)
        1    0.000    0.000    0.015    0.015 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/runtime/nrtdynmod.py:205(compile_nrt_functions)
      185    0.000    0.000    0.015    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/importlib/metadata.py:104(_from_text)
2413/2400    0.002    0.000    0.015    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/types/abstract.py:61(__call__)
