         13633529 function calls (13507492 primitive calls) in 14.321 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.023    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:732(add_llvm_module)
       96    0.000    0.000    0.023    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/pprint.py:55(pformat)
       96    0.000    0.000    0.023    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/pprint.py:151(pformat)
      190    0.023    0.000    0.023    0.000 {method 'read' of '_io.BufferedReader' objects}
  2417/96    0.002    0.000    0.022    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/pprint.py:163(_format)
    83224    0.018    0.000    0.022    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/_weakrefset.py:39(_remove)
        1    0.000    0.000    0.022    0.022 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/scipy/sparse/csgraph/__init__.py:1(<module>)
        1    0.000    0.000    0.022    0.022 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typed_passes.py:297(run_pass)
        1    0.000    0.000    0.022    0.022 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:2906(run)
       12    0.000    0.000    0.022    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:651(_optimize_functions)
   256136    0.022    0.000    0.022    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/base_events.py:508(_check_closed)
     1007    0.002    0.000    0.021    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/extending.py:129(decorate)
   252904    0.020    0.000    0.020    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/base_events.py:1908(get_debug)
        1    0.000    0.000    0.018    0.018 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/npdatetime.py:1(<module>)
      808    0.002    0.000    0.018    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/selector_events.py:98(_close_self_pipe)
      266    0.000    0.000    0.018    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/npydecl.py:196(generic)
        1    0.000    0.000    0.017    0.017 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/npyfuncs.py:1(<module>)
   291417    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
      266    0.001    0.000    0.017    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/npydecl.py:92(generic)
        3    0.000    0.000    0.016    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:286(create_cfunc_wrapper)
        3    0.000    0.000    0.016    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/cpu.py:193(create_cfunc_wrapper)
